gauge,width,steel_type,location,amount,effective_start_date,effective_end_date
16,60,galvanneal,nucor_gallatin,0,2025-06-01,1900-01-01
16,36,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
16,48,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
16,60,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
16,36,galvanneal,NLMK,1.00,2025-06-01,1900-01-01
16,48,galvanneal,NLMK,0,2025-06-01,1900-01-01
16,60,galvanneal,NLMK,0,2025-06-01,1900-01-01
18,36,galvanneal,NLMK,1.00,2025-06-01,1900-01-01
18,48,galvanneal,NLMK,0,2025-06-01,1900-01-01
18,60,galvanneal,NLMK,0,2025-06-01,1900-01-01
18,36,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
18,48,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
18,60,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
20,36,galvanneal,NLMK,1.00,2025-06-01,1900-01-01
20,48,galvanneal,NLMK,0,2025-06-01,1900-01-01
20,60,galvanneal,NLMK,0,2025-06-01,1900-01-01
20,36,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
20,48,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
20,60,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
22,36,galvanneal,NLMK,1.00,2025-06-01,1900-01-01
22,48,galvanneal,NLMK,0,2025-06-01,1900-01-01
22,60,galvanneal,NLMK,0,2025-06-01,1900-01-01
22,36,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
22,48,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
22,60,galvanneal,nucor_hickman,0,2025-06-01,1900-01-01
24,36,galvanneal,NLMK,2.00,2025-06-01,1900-01-01
24,48,galvanneal,NLMK,1.50,2025-06-01,1900-01-01
24,60,galvanneal,NLMK,1.50,2025-06-01,1900-01-01
24,36,galvanneal,nucor_hickman,4.00,2025-06-01,1900-01-01
24,48,galvanneal,nucor_hickman,1.00,2025-06-01,1900-01-01
24,60,galvanneal,nucor_hickman,1.00,2025-06-01,1900-01-01
26,36,galvanneal,NLMK,6.00,2025-06-01,1900-01-01
26,48,galvanneal,NLMK,5.50,2025-06-01,1900-01-01
26,60,galvanneal,NLMK,5.50,2025-06-01,1900-01-01
26,36,galvanneal,nucor_hickman,6.00,2025-06-01,1900-01-01
26,48,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
26,48,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
26,60,galvanneal,nucor_hickman,3.00,2025-06-01,1900-01-01
